Category,Name,Description,Values,Default value
Data Exchange,fix_autocad_iges_text_scale,Fixes scaling problems with AutoCAD releases earlier than Release 10. Yes - Repairs AutoCAD files appropriately.,"yes, no",no
Data Exchange,fix_catia_iges_sym_note,Corrects a problem caused by multiple rotations of a note in a CATIA IGES file. Yes - Rectifies any discrepancies.,"yes, no",no
Data Exchange,frt_enabled,Loads feature recognition application.,"yes, no",no
Data Exchange,iges_clip_view_ent,Determines whether IGES entities are clipped with regards to IGES views. YES - Entities outside the view outline are clipped. NO - No clipping.,"yes, no",yes
Data Exchange,iges_clip_view_note,Determines how IGES notes are clipped with regards to IGES views. No_clip - No clipping. Full_clip - Notes that are partially outside the view outline are clipped. Partial_clip - Notes completely outside the view outline are clipped.,"no_clip, full_clip, partial_clip",no_clip
Data Exchange,iges_export_dwg_views,Yes - Exports drawing view information. No - Does not export drawing view information.,"yes, no",no
Data Exchange,iges_in_dwg_color,Yes - Import RGB information to IGES files. The color definition entities in the IGES file are imported to the drawings as user-defined colors. No - The color-definition entities in the IGES files are ignored when importing to the drawing.,"yes, no",no
Data Exchange,iges_in_dwg_line_font,"Controls the import of user-defined line fonts. Yes - Give default names to user-defined line styles without names in order (""IGES_1,"" ""IGES_2"" etc.). No - Imports the user-defined line fonts as Solid line font.","yes, no",no
Data Exchange,iges_in_group_to_dwg_layer,Yes - Converts an IGES group to drawing layers. No - The IGES group is not converted.,"yes, no",no
Data Exchange,iges_note_disp,Determines what to do when IGES note entities do not point to any views or the drawing entity. See the configuration option iges_zero_view_disp.,"as_geometry, all_views, no_views, as_is",all_views
Data Exchange,iges_out_catia_gdt_width,Yes - Enables the desired width of a gtol symbol to be exported to CATIA.,"yes, no",no
Data Exchange,iges_out_catia_notes,"Yes - Breaks a large note (greater than 70 strings) down into smaller notes, each producing an IGES entity.","yes, no",no
Data Exchange,iges_out_dwg_color,Yes - Enables the export of RGB information to IGES files. The user-defined colors in the drawing are exported to an IGES file as color definition entities. No - Ignores the user-defined colors in the drawing when exporting IGES file.,"yes, no",no
Data Exchange,iges_out_dwg_line_font,Controls the export of user-defined line font through IGES. No - Exports all geometry as solid font.,"yes, no",no
Data Exchange,iges_out_jamais_compliant,"Yes - Specifies IGES output with special JAMA-IS subset specification, compliant with the version 1.02 of JAMA-IS (Japan Automobile Manufacturers Association IGES Subset Specification). No - Specifies normal IGES.","yes, no",no
Data Exchange,iges_out_mil_d_28000,Yes - Specifies IGES output that uses the MIL-D-28000 entity subset.,"yes, no",no
Data Exchange,iges_out_start_note,"Yes - Exports the text specified by system_iges_header_file and user_iges_header_file as a note on the drawing. To control note placement, use the configuration file option put_iges_drawing_entity.","yes, no",no
Data Exchange,iges_out_symbol_entity,"Exports a drawing symbol as an IGES general symbol entity, IGES type number 228 (yes), or as its component entities: notes and lines.","yes, no",yes
Data Exchange,iges_out_trim_curve_deviation,Sets the maximum value for the distance between an XYZ trimming curve (boundary) and the underlying surface of a trimmed surface,,-1
Data Exchange,iges_zero_view_disp,"When IGES geometry does not point to any views or the drawing entity. All_views - Creates a copy of the entity for each view. No_views - Does not create the entity at all. As_is - Creates the entity once, using only its own transformation information.","all_views, no_views, as_is",all_views
Data Exchange,initial_board_bend_y_factor,Specifies a value used to determine the neutral bend line for a board part. This value is always used for non-cylindrical bends. It is used for regular bends only when no bend table is specified,,0.5
Data Exchange,interface_quality,"Sets amount of checking for overlapping lines and collecting lines of same pen color before exporting plot or 2-D file. 0 - No check or collection. 1 - No check, but collection. 2 - Partial check and collection. 3 - Complete check and collection.",,3
Data Exchange,intf2d_fit_incompatible_data,"YES - For import and export, fixes compatibility problems between 2-D external formats (such as IGES and DXF) and Creo.","yes, no",no
Data Exchange,intf2d_iges_out_hatch,YES - Exports draft xhatching as IGES sectioned area entity. NO - exports draft xhatching as separate geometric entities.,"yes, no",no
Data Exchange,intf2d_in_acad_expl_unsupp_ents,"Yes - ACAD_PROXY_ENTITY and REGION entities are imported as set of draft entities, No - ACAD_PROXY_ENTITY and REGION entities are ignored.","yes, no",yes
Data Exchange,intf2d_in_acad_ignore_3d,"YES - Ignore the 3DSOLID entities, if they exist, in the DXF/DWG file being imported in Drawing mode. Only, the 2D entities are processed.  NO - Create an assembly by processing the 3DSOLID entities in the DWG/DXF file being imported in Drawing mode. This is the default value for this option.","yes, no",no
Data Exchange,intf2d_in_acad_scale_line_fonts,"Specify whether or not to scale line fonts when importing a DXF or DWG file to a Creo drawing. Yes - the line fonts will be scaled based on the drawing sheet size, No - the line fonts will not be scaled.","yes, no",yes
Data Exchange,intf2d_in_acad_wrap_tbl_texts,Wrap table texts imported from a DXF or DWG file when set to YES.,"yes, no",no
Data Exchange,intf2d_in_assoc_dim_geom,"Controls if imported associative dimensions remain associative. Yes - If the drawing setup option associative_dimensioning is Yes, then dimensions are imported associative. No - Dimensions do not retain associativity.","yes, no",no
Data Exchange,intf2d_in_bottom_margin,Sets the bottom margin in drawing units for imported drawings.,,0
Data Exchange,intf2d_in_ced_3d_containers,If set to YES containers will be included when importing a CED drawing associative to a 3D model to Creo.,"yes, no",no
Data Exchange,intf2d_in_ced_3d_empty_parts,If set to YES empty parts will be included when importing a CED drawing associative to a 3D model to Creo.,"yes, no",yes
Data Exchange,intf2d_in_ced_3d_face_parts,If set to YES face parts will be included when importing a CED drawing associative to a 3D model to Creo.,"yes, no",yes
Data Exchange,intf2d_in_ced_3d_wire_parts,If set to YES wire parts will be included when importing a CED drawing associative to a 3D model to Creo.,"yes, no",yes
Data Exchange,intf2d_in_ced_xsec_arrows,If set to YES - cross-section arrows are created when importing a CED associative drawing with section views.,"yes, no",no
Data Exchange,intf2d_in_create_multiline_note,Create a single multi-line note on importing multi-line text when is set to YES.,"yes, no",yes
Data Exchange,intf2d_in_dim,AS_SEP_ENT - Imports each component of a dimension separately. AS_IS - Imports dimensions as dimensions in Pro/ENGINEER. AS_SYMBOL - Imports dimensions as symbols in Pro/ENGINEER.,"as_symbol, as_is, as_sep_ent",as_is
Data Exchange,intf2d_in_dxf_mapping_file,Specifies the mapping file for DXF and DWG import. Absolute or relative path to the file can be used.,,
Data Exchange,intf2d_in_iges_hatch_bnd_layer,Yes - Places all sectioned areas boundary imported from the IGES file in one layer named IGES_HATCH_BOUNDARY. NO - Does not place sectioned areas boundary in one layer.,"yes, no",no
Data Exchange,intf2d_in_iges_symbols,Controls whether to import IGES symbols as symbols or as entities by default. Yes - Import IGES symbols as symbols by default. No - Import IGES symbols as entities by default.,"yes, no",yes
Data Exchange,intf2d_in_left_margin,Sets the left margin in drawing units for imported drawings.,,0
Data Exchange,intf2d_in_mi_brk_unsupp_dim,"Yes - Breaks unsupported MI dimension types to separate entities, No - Imports unsupported MI dimension types as different type dimensions that can look differently.","yes, no",no
Data Exchange,intf2d_in_mi_lay_parts,"Yes - Maps MI drafting parts to layers, No - Imports MI drafting parts as separate entities.","yes, no",yes
Data Exchange,intf2d_in_mi_mapping_file,Specifies the mapping file for MI import. Absolute or relative path to the file can be used.,,
Data Exchange,intf2d_in_mi_sym_parts,"Yes - Maps MI symbol parts to symbols, No - Imports MI symbol parts as separate entities.","yes, no",yes
Data Exchange,intf2d_in_open_log_window,Yes - Opens Import Log File in a separate window. No - The Log File does not appear in the window.,"yes, no",no
Data Exchange,intf2d_in_recompute_dim_value,Indicates whether to recompute associative dimensions upon import.,"yes, no",no
Data Exchange,intf2d_in_right_margin,Sets the right margin in drawing units for imported drawings.,,0
Data Exchange,intf2d_in_std_clrs_as_user_def,Yes - standard colors are imported as user-defined colors. No - standard colors are mapped to Creo colors.,"yes, no",yes
Data Exchange,intf2d_in_top_margin,Sets the top margin in drawing units for imported drawings.,,0
Data Exchange,intf2d_in_white_as_black,If set to yes entities having white color will be imported as black when the background color is white.,"yes, no",yes
Data Exchange,intf2d_out_acad_brk_tbl_w_bl_ln,"Yes - drawing tables having blanked lines are exported to DXF/DWG as separate entities, No - the tables are exported as DXF/DWG tables but the lines are not blanked.","yes, no",no
Data Exchange,intf2d_out_acad_ellipses,Yes - ellipses will be exported to DXF or DWG as ellipses. No - ellipses will be exported as splines.,"yes, no",yes
Data Exchange,intf2d_out_acad_mtext,Create a single MTEXT entity for multi-line text notes when is set to YES.,"yes, no",yes
Data Exchange,intf2d_out_acad_ole_as_image,Controls OLE export to DXF/DWG. Yes - exports OLE objects as DXF/DWG IMAGEs. No - exports OLE objects as separate entities.,"yes, no",yes
Data Exchange,intf2d_out_acad_sym_block_name,"Determines whether symbol definition or symbols instance names are used as block names in DXF/DWG export when symbols are mapped to blocks. SYM_DEF - symbol definition names are used, SYM_INST - symbol instance names are used.","sym_def, sym_inst",sym_def
Data Exchange,intf2d_out_acad_text_align,As_is - Exports notes to DXF/DWG with their original alignment values. Fit - Exports notes with FIT alignment.,"as_is, fit",as_is
Data Exchange,intf2d_out_acad_unicode,Yes - Non-ASCII characters are written in UNICODE encoding.,"yes, no",no
Data Exchange,intf2d_out_blanked_layers,"Enables export of blanked layer entities. If an entity is placed on a layer that is blanked and this option is set to YES, the entity will be exported.","yes, no",no
Data Exchange,intf2d_out_cgm_old_lfont_map,"Yes - Use the old line font mapping in CGM export: hidden lines to type 2, CTRLFONT to type 4, PHANTOMFONT to type 5. No - Use the new mapping: hidden lines to type 12, CTRLFONT to type 11, PHANTOMFONT to type 13.","yes, no",no
Data Exchange,intf2d_out_cgm_ver,Provides the ability to choose CGM metafile version when exporting from Creo drawing.,"1, 3",1
Data Exchange,intf2d_out_dxf_mapping_file,Specifies the mapping file for DXF and DWG export. Absolute or relative path to the file can be used.,,
Data Exchange,intf2d_out_enhanced_ents,Controls whether the enhanced entities (SPLINE and HATCHING) are converted to the corresponding DXF entities or represented as separate lines and polylines.,"none, spline_and_hatch, spline_only, hatch_only",spline_and_hatch
Data Exchange,intf2d_out_iges_layers_with_id,Yes - Exports interface IDs of layers as IGES levels.,"yes, no",no
Data Exchange,intf2d_out_image_format,"If set to ""png"" shaded views will be exported as a PNG image and the background will be transparent. If set to ""jpeg"" shaded views will be exported as a JPEG image and the background will be opaque.","jpeg, png",png
Data Exchange,intf2d_out_line_width,YES - Exports line width information to DXF. NO - all entities are exported with the default width.,"yes, no",yes
Data Exchange,intf2d_out_linemerge_ign_layers,If set to yes overlapping lines will be merged regardless of their layers when exporting or plotting a drawing. If set to no overlapping lines belonging to different layers will not be merged.,"yes, no",no
Data Exchange,intf2d_out_open_log_window,Yes - Opens Export Log File in special window. No - the Log File will not appear in the window.,"yes, no",no
Data Exchange,intf2d_out_pdf_unicode,Specifies note texts encoding in PDF export. YES - Texts are exported in Unicode encoding. No - Texts are exported in native encoding.,"yes, no",no
Data Exchange,intf2d_out_pdf_white_as_black,"If set to yes drawing entities having white (255, 255, 255) color will be exported to PDF as black.","yes, no",yes
Data Exchange,intf2d_out_pnt_ent,"Yes - Exports a drawing point to IGES, DXF or DWG as a point entity. No - Exports a drawing point as shape entities.","yes, no",no
Data Exchange,intf2d_out_quilt_hl_priority,QUILT - quilt lines have higher priority than hidden lines when exporting or plotting a drawing. HIDDEN_LINE - hidden lines have higher priority than quilt lines.,"quilt, hidden_line",quilt
Data Exchange,intf2d_out_splines_to_arcs,Yes - splines geometrically representing arcs will be exported as arcs. No - such splines will be exported as splines.,"yes, no",yes
Data Exchange,intf2d_out_stroke_text,"Strokes == text is converted to lines and dots. ""NONE""- Does not stroke out the text for export. ""ALL"" - Strokes out all the text. ""SPECIAL"" - Strokes out only special characters.","all, none, special",none
Data Exchange,intf3d_ideas_import_filter,Enables UI to selectively import I-DEAS part and assembly models from the I-DEAS .mf1 and .pkg container files.,"yes, no",no
Data Exchange,intf3d_ideas_install_dir,Specifies the path for I-DEAS installation. Use the full pathname to avoid problems.,,
Data Exchange,intf3d_ideas_run_command,"Specifies the I-DEAS run command. Default command is ""ideas"".",,ideas.cmd
Data Exchange,intf3d_in_enable_layer_join,No - Join surfaces on import as geometry is loaded from file. Yes - Use new method to join surfaces by layer (surfaces contained on the same layer are joined together first) with a better chance of joining those surface elements to form closed geometry.,"yes, no",yes
Data Exchange,intf3d_in_import_as_facets,Import faceted data for formats that support both facet and Brep representations.,"yes, no, default",default
Data Exchange,intf3d_in_lock_redisplay,Provides the option to prevent the redisplay of models while they are in transitional state during Creo Elements/Direct file import.,"yes, no",no
Data Exchange,intf3d_out_configure_export,Yes Will automatically invoke UI to apply special model-level configuration during export.  No UI to apply special model-level configuration for export will not be invoked unless explicitly designated by the user during Save a Copy.,"yes, no",no
Data Exchange,intf3d_out_create_export_log,Generate or not an export log,"yes, no",yes
Data Exchange,intf_cadds_import_make_solid,Allows the user to solidify all closed quilts during import CADDS5 model.,"yes, no",no
Data Exchange,intf_cadds_version,Allows the user to switch between the default and alternate converter version for interface with CADDS5,"14, 15",14
Data Exchange,intf_generate_log_file,Specifies not to generate or generate short or long log files for data exchange import operations.,"no, long, short",short
Data Exchange,intf_ignore_suffix_in_pvz,YES- the document type as suffix will not be appended to the part name in Creo View name during Save As to Workspace operation.,"yes, no",no
Data Exchange,intf_in_dwg_pnt_ent,Yes - Converts an IGES or DXF point entity to a drawing point.,"yes, no",no
Data Exchange,intf_in_dwg_view,Controls if associativity in an imported IGES view is preserved. 3D_VIEWS - tries to create 3D views if 3D model exists in the file. 2D_VIEWS - Imported IGES views work as 2D. No - Imported IGES views are exploded and become unrelated.,"no, 2d_views, 3d_views",2d_views
Data Exchange,intf_in_extract_profiles,"Default, no profiles in a data exchange file will be extracted for use.","all, none, comp",none
Data Exchange,intf_in_granite_direct_enable,"Allows the user to switch back to the old 'Import Feature' method of reading Desktop .des files and Granite .g files into Creo. By default, Creo directly opens these models.","yes, no",yes
Data Exchange,intf_in_layer_asm_dialog,Yes - Presents a dialog box to control the import of both layers and assemblies. You can choose from the list of layers and/or solids available in the file to select one or more for import.,"yes, no",no
Data Exchange,intf_in_profile_default,Specifies the name of the existing import profile to use by default.,,
Data Exchange,intf_out_layer,Layer mapping mechanism providing an ability to group entities to layers or blocks.,"none, part_layer, block_layer, block_nested_layer, block_view_based_layer, block_nested_view_based_layer",none
Data Exchange,intf_out_layer_rename_table,Enables you to assign interface ids to layers during export,,
Data Exchange,intf_out_text_length,Sets text length in exported 2-D. As_is - Width of each character is width of strokes. Full_size - Width of each character is width of character text box. Adjusted - Adjusts spacing so no extra space left and end/start character do not overlap.,"as_is, full_size, adjusted",full_size
Data Exchange,intf_pdf_u3d_create_u3d_files,"YES - When exporting a Creo model as PDF U3D file, create a U3D file of the same name as the PDF file.","yes, no",no
Data Exchange,intf_profile_dir,Specifies the directory where import and export profiles are stored. Use the full path to avoid problems.,,
Data Exchange,intf_use_variable_size,"Yes - IGES,DXF,STEP files with variable sized sheet information are imported andput on the appropriate variable-size format. Without a sheet size, the system tries to apply the correct variable-size format.  No - The IGES,DXF,STEP drawing isplaced on a standard  sized format.","yes, no",yes
Data Exchange,medusa_2d_config_file,Specifies the Medusa 2D Interface config. file. Absolute or relative path to the file can be used.,,
Data Exchange,mentor_ver_2_0,Yes - Exports the file in IDF 2.0 format. No - Exports the file in IDF 1.0 format unless IDF 2.0 is selected from the ECAD FORMAT menu.,"yes, no",yes
Data Exchange,pdf_linecap,0 - Butt cap: stroked lines are squared off at the endpoint of the path.  There is no projection beyond the end of the path.,"butt, round, projecting square",butt
Data Exchange,pdf_linejoin,0 - Miter join: outer edges of the strokes for the two segments are extended until they meet at an angle.,"round, miter, bevel",miter
Data Exchange,pdf_use_pentable,No - PDF export does not use any defined pentable changes as would be applied to plotting the drawing.,"yes, no",no
Data Exchange,pro_gplug_dir,Specifies the directory in which Granite application plug-ins are located. Use the full pathname to avoid problems.,,<creo_loadpoint>\x86e_win64\gplugs\
Data Exchange,put_iges_drawing_entity,"Specifies whether or not to suppress the output of the IGES drawing entity, #404, to the IGES file. No - The drawing entity is not output.","yes, no",yes
Data Exchange,step_export_dwg_views,AS_3D_VIEWS - Export 3-D model geometry with its associative views. AS_3D_VIEWS_ASSOC_DRAFT - Export 3-D model geometry with its associative views and view related annotations. NO - Export only 2-D representations of the 3-D models. This is the default.,"no, as_3d_views, as_3d_views_assoc_draft",no
Data Exchange,system_iges_header_file,"Inserts specified text file into the Start section of IGES files (refer to user_iges_header_file). When used with user_iges_header_file, the system text appears first.",,
Data Exchange,tiff_compression,TIFF exports are done without compression.,"none, g4, packbits, deflate",none
Data Exchange,tiff_type,Determines the type of tiff items are exported to variables refer to color sets,"rgb, palette, grayscale, mono",rgb
Data Exchange,use_export_2d_dialog,Yes - Opens export options dialog when exporting Creo drawing. No - exports file without the options dialog.,"yes, no",yes
Data Exchange,use_iges_font_1003,Used to disable the use of IGES font 1003.,"yes, no",yes
Data Exchange,use_iges_kanji_font_2001,Specifies whether to convert Kanji notes in Creo to IGES Kanji notes (font code) when exporting. Yes - Converts Kanji notes to IGES Kanji notes. No - Converts using Font 1.,"yes, no",no
Data Exchange,user_iges_header_file,"Filename - Insert specified text file into the Start section of IGES file. Valid parametric note symbols will be replaced during export. For example, &dwg_name in the text file is replaced by the drawing name when a drawing is exported.",,
Data Exchange,vrml_anchor_url,Enables you to place an anchor on a specified VRML component during the export to VRML. The keywords are optional.,,
Data Exchange,vrml_background_color,Yes - Exports a model to VRML with the Creo background color.,"yes, no",no
Data Exchange,vrml_explode_lines,Yes - Exports a model to VRML with explode lines for assembly or assembly process data.,"yes, no",yes
Data Exchange,vrml_export_resolution,Specifies the number of levels of detail (LODs) in models exported in VRML format.,"high, medium, low",medium
Data Exchange,vrml_export_version,Allows the user to choose between exporting to the VRML 2.0 or 1.0 format.,"2.0, 1.0",2
Data Exchange,vrml_file_duplicate_material,"Yes - Ensures that the model components retain their true color. No - In some viewers, component colors might not be consistent.","yes, no",no
Data Exchange,vrml_multiple_views,All - Exports top-level and lower-level assembly component views into VRML format. None - Does not export component views into VRML format. Top - Exports top-level object view only into VRML format.,"all, none, top",all
Data Exchange,vrml_parameters,Controls the export of user parameters. Designated - Export only designated parameters. All - Export all parameters. None - Do not export parameters.,"all, none, designated",designated
Data Exchange,vrml_simprep_export,Yes - Specifies direct and in memory export of top-level assembly simplified representation to Pro/FLY-THROUGH package files.,"yes, no",no
Data Exchange,www_add_aux_frame,Creates additional frame for each process step or for assembly publication. Yes - Auxiliary files aux.html are created for each step in assembly process (in each step00 directory) to be replaced by your .html file. No - Auxiliary files are not created.,"yes, no",no
Data Exchange,www_export_geometry_as,Specifies the output format by to one of the values,"all, vrml, cgm, jpg, cgm_vrml, jpg_vrml, cgm_jpg",jpg_vrml
Data Exchange,www_multiple_views,All - Writes all views in any component to the appropriate VRML files. Top - Writes only named views that reside in the assembly or process assembly to top-level VRML files. None - Does not write named views to VRML files.,"all, none, top",top
Data Exchange,www_tree_location,Specifies the location of the model tree in the browser window. Out - Opens model tree in a separate window. In - Includes model tree in the Web page and removes the Tree checkbox from the control panel.,"out, in",out
Data Management,allow_import_file_extension,Allow additonal files with extensions to be shown in the import dialog,,
Data Management,bitmap_size,Works in conjunction with save_bitmap. Determines the size (squared) of the bitmap image that is stored.,,200
Data Management,dm_auto_open_zip,YES - Windchill CAD packages or zip files will open automatically. NO - User selects which file in contents to open.,"yes, no",yes
Data Management,dm_cache_limit,Enter amount of disk space (in megabytes) to allocate for local file storage. The change to the existing setting will take effect after Creo is restarted.,,
Data Management,dm_cache_mode,Indicate which objects will be written to local cache when objects in Creo memory are saved.,all,all
Data Management,dm_checkout_on_the_fly,Controls the default action presented to the user when Check Out on the fly dialog comes up,"checkout, continue",checkout
Data Management,dm_fallback_server_location,Specifies the server location where objects will be saved when Creo does not provide an ability to specify the target save location. This option is applicable for Windchill ProductPoint only.,,
Data Management,dm_hide_virtual_default_ws,"Yes - When there is at least one workspace created in any context in selected server, default workspaces that were never used, will not be listed. No - (Default value) Default workspaces will be listed for each context that has no workspace defined.","yes, no",no
Data Management,dm_http_compression_level,"Set the data compression factor (0-9, 0= no compression) for data exchange with a Windchill server.",,
Data Management,dm_offline_after_event,Allow the user to choose to work offline when there is a loss of server connection. Staying online will continue to retry server operations.,"yes, no",yes
Data Management,dm_offline_options_activated,"Yes - Synchronize, Download and Upload boxes are checked when going online. No - Only Synchronize box is checked when going online.","yes, no",yes
Data Management,dm_overwrite_contents_on_update,Yes: Windchill Workspace Update will overwrite locally/modified out of date objects with the ones in the server. No (Default): Windchill Workspace Update will update metadata only.,"yes, no",no
Data Management,dm_remember_server,Primary server/workspace must be set by user for each Creo session.,"yes, no",yes
Data Management,dm_save_as_attachment,Controls the default option for Save A Copy when models are saved as in non-Creo format. Yes - It will by default save it as secondary content attachment to the original CAD Document. No- It will by default save it as Primary CAD Document.,"yes, no",yes
Data Management,dm_search_primary_server,Search the primary server for dependencies not found in the workspace.,"yes, no",yes
Data Management,dm_secondary_upload,Indicate when modified Creo objects on a secondary server will be moved from the local cache to the user's workspace on the server.,"automatic, explicit",automatic
Data Management,dm_synchronize_in_background,Yes: Enables workspace synchronization in the background. No (Default): Workspace synchronization will happen in the foreground.,"yes, no",no
Data Management,dm_update_unconfirmed_instances,Specifies when to force verification and save of unconfirmed assembly instances to data management system:    NEVER         - never;    CRITICAL_ONLY - only to correct or prevent doubtless data corruption;    ALWAYS        - whenever generic is saved,"never, always, critical_only",never
Data Management,dm_upload_objects,Indicate when modified Creo Parametric objects will be moved from the local cache to the user workspace on the server.,"automatic, explicit",explicit
Data Management,let_proe_rename_pdm_objects,Determines whether an object fetched from a PDM database can be renamed in a Creo session.,"yes, no",no
Data Management,pdm_rev,"Specify how the system parameter, PDM_REV, should be formatted. Only useful for objects submitted to Pro/PDM or Pro/INTRALINK.","pdmrev_fmt_rev_ver, pdmrev_fmt_rev, pdmrev_fmt_branch_rev_ver, pdmrev_fmt_branch_rev",pdmrev_fmt_rev_ver
Data Management,read_parameters_of_excluded,Allow Creo designated parameters on excluded objects in Simplified Representation to be visible in Model Tree columns.,"yes, no, common_name_only",no
Data Management,regenerate_read_only_objects,Determines whether an object retrieved from PDM database with read only status can be regenerated in a Creo session.,"yes, no",yes
Data Management,save_bitmap,"When performing a save on a model, determines what level of the assembly will have bitmap images created of modified components.","none, toplevelonly, alllevels",none
Data Management,save_bitmap_type,"When performing a save on a model, determines the type of image file that is created for that model. Used with ""save_bitmap"" option.","cgm, bmp, tiff, gif, jpeg",bmp
Data Management,save_unchanged_pdm_object,Determines how to save in the current working directory an object fetched from a Pro/PDM database into a Creo session.,"as_ref, as_copy",as_ref
Design Manager,dont_show_symbol_nodes,Do not show references derived from relations in Parent/Child viewer.,"yes, no",no
Dimensions & Tolerances,allow_rfs_default_gtols_always,Yes - Enables RFS/Default gtols to be created even when not permitted by ANSI standard.,"yes, no",no
Dimensions & Tolerances,ang_dim_in_screen,"Yes - If the display is in the default pan/zoom setting (View>Pan/Zoom>Reset), the system checks whether an angular dimension is visible on the screen. If it is not visible, then the system moves the dimension to a visible location.","yes, no",no
Dimensions & Tolerances,angular_tol,"An alternative format for setting default angular tolerance dimensions. The value sets the number of decimal places, and the tolerance is the actual tolerance value. For integer dimensions, the value is zero, and the tolerance is an integer.",,0
Dimensions & Tolerances,angular_tol_0.0,Sets the default tolerance for angular dimensions. Each option sets a tolerance for a specific decimal place. The value is the place of the last decimal.,,5
Dimensions & Tolerances,angular_tol_0.00,Sets the default tolerance for angular dimensions. Each option sets a tolerance for a specific decimal place. The value is the place of the last decimal.,,50
Dimensions & Tolerances,angular_tol_0.000,Sets the default tolerance for angular dimensions. Each option sets a tolerance for a specific decimal place. The value is the place of the last decimal.,,500
Dimensions & Tolerances,angular_tol_0.0000,Sets the default tolerance for angular dimensions. Each option sets a tolerance for a specific decimal place. The value is the place of the last decimal.,,5000
Dimensions & Tolerances,angular_tol_0.00000,Sets the default tolerance for angular dimensions. Each option sets a tolerance for a specific decimal place. The value is the place of the last decimal.,,50000
Dimensions & Tolerances,angular_tol_0.000000,Sets the default tolerance for angular dimensions. Each option sets a tolerance for a specific decimal place. The value is the place of the last decimal.,,500000
Dimensions & Tolerances,create_fraction_dim,Yes - All dimensions created will be displayed as fractions.,"yes, no",no
Dimensions & Tolerances,default_ang_units,"Sets the display of newly created angular dimensions both in the model and in the drawing. There is no impact on dimensions previously created. ang_deg - Decimal degrees.  ang_min - Degrees and decimal minutes ang_sec - Degrees, minutes, and decimal seconds","ang_deg, ang_min, ang_sec",ang_deg
Dimensions & Tolerances,default_dec_places,Sets the default number of decimal places (0-13) to which to round newly created dimensions. Unrounded dimensions automatically determine the number of decimal places required to display their stored value.,,2
Dimensions & Tolerances,default_dim_num_digits_changes,Sets the default number of digits displayed in a dimension to the last entered value. No - The system defaults to the value specified for the configuration file option default_dec_places.,"yes, no",yes
Dimensions & Tolerances,default_placement_surfacefinish,Sets the default placement type for surface finishes within the surface finish UI.,"with_leaders, on_entity, normal_to_entity, free",normal_to_entity
Dimensions & Tolerances,dim_fraction_denominator,"Sets the largest denominator to be used for fractional dimensions. If the fraction can be reduced, then it converts to the lowest possible denominator (for example, 4/32 converts to 1/8).","1/2, 1/4, 1/8, 1/16, 1/32, 1/64, 1/128",Jan-32
Dimensions & Tolerances,dim_fraction_format,Std - Displays fractional dimensions in the standard Creo format. Aisc - Displays fractional dimensions in the American Institute of Steel Construction (AISC) format and displays architectural units in AISC format for feet-inches.,"std, aisc",std
Dimensions & Tolerances,dim_offscreen_limit,"If more than zero, sets the margin beyond which dimensions are automatically snapped back onto the screen.  For example, a value of .2 lets a dimension be 20% of the window size outside the window.  If set to zero, disables snapping of offscreen dimensions.",,0.2
Dimensions & Tolerances,display_tol_by_1000,"If set to Yes, tolerances for non-angular dimensions will be displayed multiplied by 1000.","yes, no",no
Dimensions & Tolerances,gtol_dim_placement,Controls display of geometric tolerances in Part. Use like drawing set-up option of the same name. On_bottom - Gtols display at bottom (below additional lines of text). Under_value - Gtols display under dimension value (above additional lines of text).,"on_bottom, under_value",on_bottom
Dimensions & Tolerances,linear_tol,"An alternate format for setting default linear tolerance dimensions. First value sets the number of decimal places. Second value is the actual tolerance. For example, 6 0.000025 sets tolerance to six decimal places. The default tolerance is 0.000025.",,0.000000 -1
Dimensions & Tolerances,linear_tol_0.0,Specify a range for default tolerances of linear and angular dimensions. These values affect only models created after the tolerance options are specified in the configuration file.,,1
Dimensions & Tolerances,linear_tol_0.00,Specify a range for default tolerances of linear and angular dimensions. These values affect only models created after the tolerance options are specified in the configuration file.,,1
Dimensions & Tolerances,linear_tol_0.000,Specify a range for default tolerances of linear and angular dimensions. These values affect only models created after the tolerance options are specified in the configuration file.,,1
Dimensions & Tolerances,linear_tol_0.0000,Specify a range for default tolerances of linear and angular dimensions. These values affect only models created after the tolerance options are specified in the configuration file.,,1
Dimensions & Tolerances,linear_tol_0.00000,Specify a range for default tolerances of linear and angular dimensions. These values affect only models created after the tolerance options are specified in the configuration file.,,1
Dimensions & Tolerances,linear_tol_0.000000,Specify a range for default tolerances of linear and angular dimensions. These values affect only models created after the tolerance options are specified in the configuration file.,,1
Dimensions & Tolerances,maintain_limit_tol_nominal,Maintains the nominal value of a dimension regardless of the changes that you make to the tolerance values.,"yes, no",no
Dimensions & Tolerances,mark_approximate_dims,"Yes - Displays a tilde (~) in front of a dimension that is set to display as a fraction and has an actual value that is not rounded to equate exactly to the displayed fractional value (the fraction shows 7/32 but the actual value is .22, not 0.21875).","yes, no",no
Dimensions & Tolerances,minimum_angle_dimension,Controls the minimum angle value under which Creo assumes colinearity of the selected items when creating a driven dimension.,,1
Dimensions & Tolerances,parenthesize_ref_dim,"Encloses reference dimensions in parentheses. No - Follows reference dimensions with the text ""REF"".","yes, no",no
Dimensions & Tolerances,round_displayed_dim_values,Sets the default status of the Rounded Dimension Value checkbox for newly created or shown dimensions.,"yes, no",yes
